"STATION","DATE","PRCP","TAVG","TMAX","TMIN","TSUN"
"USW00094728","2014-07-13","0.03",,"83","72",
"USW00094728","2014-07-14","0.46",,"84","72",
"USW00094728","2014-07-15","1.30",,"86","72",
"USW00094728","2014-07-16","0.00",,"81","68",
"USW00094728","2014-07-17","0.00",,"81","67",
"USW00094728","2014-07-18","0.00",,"81","64",
"USW00094728","2014-07-19","0.00",,"76","68",
"USW00094728","2014-07-20","0.00",,"80","66",
"USW00094728","2014-07-21","0.00",,"85","67",
"USW00094728","2014-07-22","0.00",,"86","71",
"USW00094728","2014-07-23","0.19",,"88","72",
"USW00094728","2014-07-24","0.00",,"80","70",
"USW00094728","2014-07-25","0.00",,"82","66",
"USW00094728","2014-07-26","0.00",,"81","69",
"USW00094728","2014-07-27","0.02",,"85","71",
"USW00094728","2014-07-28","0.19",,"82","68",
"USW00094728","2014-07-29","0.00",,"76","64",
"USW00094728","2014-07-30","0.00",,"80","63",
"USW00094728","2014-07-31","0.00",,"82","68",
"USW00094728","2014-08-01","0.00",,"84","71",
"USW00094728","2014-08-02","0.41",,"74","63",
"USW00094728","2014-08-03","0.07",,"76","66",
"USW00094728","2014-08-04","0.00",,"84","70",
"USW00094728","2014-08-05","0.00",,"90","71",
"USW00094728","2014-08-06","0.00",,"83","70",
